Common Name,Full Name,agent_id
"Atlanta, GA",Kwame Patel,kwame_patel_238
"Austin, TX",Ava Hernandez,ava_hernandez_489
"Baltimore, MD",Arijun Martinez,arjun_martinez_306
"Birmingham, AL",Lucia Smith,lucia_smith_808
"Boston, MA",Mary Baker,mary_baker_972
"Buffalo, NY",James Rodriguez,james_rodriguez_654
"Charlotte, NC",Aya Parker,aya_parker_144
"Chicago, IL",Mary Campbell,mary_campbell_436
"Cincinnati, OH",Mina Johnson,mina_johnson_715
"Cleveland, OH",Lucia Clark,lucia_clark_4
"Columbus, OH",Keisha Scott,keisha_scott_367
"Dallas, TX",Emily Adams,emily_adams_50
"Denver, CO",Latoya Walker,latoya_walker_552
"Detroit, MI",Malik Mitchell,malik_mitchell_314
"Fresno, CA",Ling Baker,ling_baker_297
"Grand Rapids, MI",Isabella Hill,isabella_hill_209
"Houston, TX",Thomas Khan,thomas_khan_478
"Indianapolis, IN",Emily Hernandez,emily_hernandez_789
"Jacksonville, FL",Luis Perez,luis_perez_521
"Kansas City, MO",Ebony Perez,ebony_perez_993
"Las Vegas, NV",Tanya Smith,tanya_smith_209
"Los Angeles, CA",Camila Robinson,camila_robinson_734
"Louisville, KY",Lucia King,lucia_king_442
"Memphis, TN",Zainab Washington,zainab_washington_579
"Miami, FL",Joseph Adams,joseph_adams_314
"Milwaukee, WI",Mei Thompson,mei_thompson_435
"Minneapolis, MN",Charles Hall,charles_hall_449
"Nashville, TN",Emily Patel,emily_patel_631
"New York, NY",Jin Harris,jin_harris_955
"Oklahoma City, OK",Jamal Thompson,jamal_thompson_60
"Orlando, FL",Layla Green,layla_green_951
"Philadelphia, PA",Jin Campbell,jin_campbell_783
"Phoenix, AZ",Matthew Ramirez,matthew_ramirez_718
"Pittsburgh, PA",Amanda Mitchell,amanda_mitchell_586
"Portland, OR",Layla White,layla_white_873
"Providence, RI",Zainab Abdullah,zainab_abdullah_560
"Raleigh, NC",Raj Hill,raj_hill_659
"Richmond, VA",Margaret Baker,margaret_baker_681
"Riverside, CA",Carlos Young,carlos_young_28
"Sacramento, CA",Ahmad Walker,ahmad_walker_939
"Salt Lake City, UT",Charles Jones,charles_jones_839
"San Antonio, TX",Richard Lewis,richard_lewis_309
"San Diego, CA",Emily Singh,emily_singh_612
"San Francisco, CA",Thomas Young,thomas_young_314
"San Jose, CA",Patricia Campbell,patricia_campbell_460
"Seattle, WA",William King,william_king_267
"St. Louis, MO",Asha Jones,asha_jones_31
"Tampa, FL",Minh Harris,minh_harris_725
"Virginia Beach, VA",Carlos Martinez,carlos_martinez_859
"Washington, DC",Minh Lopez,minh_lopez_13
